County Name,People Fully Vaccinated,FIPS
Harris,363747,48201
Dallas,224351,48113
Bexar,184348,48029
Tarrant,184226,48439
Collin,108572,48085
Fort Bend,99578,48157
El Paso,95571,48139
Travis,93510,48453
Denton,88245,48121
Hidalgo,80443,48215
Montgomery,46673,48339
Cameron,46415,48061
Galveston,40768,48167
Lubbock,40687,48303
Nueces,39905,48355
Williamson,37021,48491
Brazoria,35159,48039
Webb,29813,48479
Smith,22725,48423
Randall,22298,48381
Bell,20891,48027
McLennan,20040,48309
Hays,17284,48209
Ellis,16525,48141
Comal,15527,48091
Taylor,15108,48441
Jefferson,14756,48245
Ector,14538,48135
Potter,14461,48375
Tom Green,14293,48451
Wichita,14213,48485
Brazos,14102,48041
Midland,13393,48329
Parker,13007,48367
Guadalupe,12189,48187
Gregg,11696,48183
Rockwall,10392,48397
Johnson,10222,48251
Grayson,9754,48181
Kaufman,9056,48257
Victoria,8941,48469
Angelina,7078,48005
Jim Wells,6645,48249
Kleberg,6407,48273
Hunt,6365,48231
Hood,6134,48221
Starr,6105,48427
Navarro,6075,48349
Nacogdoches,5790,48347
San Patricio,5785,48409
Henderson,5478,48213
Kendall,5277,48259
Bee,5189,48025
Bowie,4607,48037
Wise,4260,48497
Medina,4204,48325
Harrison,4130,48203
Hardin,4127,48199
Lamar,4127,48279
Kerr,4001,48265
Val Verde,3990,48465
Coryell,3937,48099
Bastrop,3922,48021
Wilson,3919,48493
Liberty,3863,48291
Moore,3777,48341
Jasper,3776,48241
Polk,3771,48373
Gillespie,3719,48171
Cherokee,3628,48073
Wood,3598,48499
Orange,3555,48361
Uvalde,3495,48463
Burnet,3325,48053
Van Zandt,3325,48467
Walker,3294,48471
Washington,3252,48477
Rusk,3110,48401
Waller,3044,48473
Fannin,3036,48147
Hill,2985,48217
Atascosa,2963,48013
Reeves,2952,48389
Chambers,2885,48071
Cooke,2719,48097
Hockley,2572,48219
Hopkins,2537,48223
Wharton,2486,48481
Anderson,2428,48001
Wilbarger,2422,48487
Aransas,2379,48007
Upshur,2350,48459
Hale,2276,48189
Howard,2271,48227
Erath,2257,48143
Colorado,2247,48089
Pecos,2221,48371
Dimmit,2204,48127
Montague,2197,48337
Andrews,2179,48003
Clay,2154,48077
Caldwell,2152,48055
Austin,2137,48015
Maverick,2042,48323
Jackson,1950,48239
Brown,1940,48049
Zavala,1913,48507
Frio,1887,48163
Llano,1869,48299
Tyler,1833,48457
Milam,1803,48331
Nolan,1781,48353
Gonzales,1767,48177
Willacy,1766,48489
San Jacinto,1760,48407
Bandera,1744,48019
Matagorda,1725,48321
Bosque,1710,48035
Terry,1709,48445
Lavaca,1683,48285
Scurry,1678,48415
Brewster,1660,48043
Duval,1654,48131
La Salle,1636,48277
Fayette,1630,48149
Trinity,1620,48455
Grimes,1611,48185
Falls,1562,48145
Titus,1544,48449
Young,1527,48503
Hutchinson,1495,48233
Palo Pinto,1453,48363
Presidio,1405,48377
Comanche,1386,48093
Gray,1374,48179
Lamb,1370,48281
Deaf Smith,1328,48117
Calhoun,1283,48057
Parmer,1281,48369
Dallam,1267,48111
Lampasas,1266,48283
Karnes,1248,48255
Limestone,1236,48293
Panola,1232,48365
Bailey,1225,48017
Jones,1217,48253
Houston,1194,48225
Ward,1193,48475
Archer,1192,48009
Burleson,1171,48051
Red River,1170,48387
Live Oak,1141,48297
Shelby,1136,48419
Sabine,1106,48403
Blanco,1098,48031
Runnels,1098,48399
Robertson,1082,48395
DeWitt,1080,48123
Eastland,1067,48133
Cass,1032,48067
Crosby,1029,48107
Newton,1021,48351
Callahan,1008,48059
Zapata,1004,48505
Goliad,987,48175
Somervell,952,48425
Lee,940,48287
Brooks,939,48047
Freestone,939,48161
Hartley,920,48205
Swisher,906,48437
Castro,852,48069
Leon,839,48289
Gaines,825,48165
Hamilton,809,48193
Refugio,804,48391
Winkler,798,48495
Camp,783,48063
Jack,778,48237
San Augustine,747,48405
Dawson,746,48115
Hardeman,704,48197
Baylor,703,48023
Childress,701,48075
Upton,700,48461
Jim Hogg,683,48247
Martin,683,48317
Rains,673,48379
Carson,672,48065
Franklin,658,48159
Ochiltree,654,48357
Floyd,645,48153
Mitchell,638,48335
Knox,630,48275
Morris,618,48343
Crane,617,48103
Yoakum,615,48501
Haskell,604,48207
Lynn,602,48305
Hemphill,598,48211
Wheeler,590,48483
Kimble,585,48267
Jeff Davis,584,48243
Madison,578,48313
Stephens,566,48429
Hansford,560,48195
McCulloch,549,48307
Marion,545,48315
Coleman,542,48083
Mason,531,48319
Mills,497,48333
Hall,492,48191
Crockett,487,48105
Menard,457,48327
Hudspeth,434,48229
Real,432,48385
Sherman,417,48421
Delta,400,48119
Collingsworth,368,48087
Reagan,368,48383
Fisher,342,48151
Throckmorton,341,48447
Sutton,326,48435
Briscoe,322,48045
Coke,315,48081
Cochran,313,48079
Lipscomb,313,48295
Concho,308,48095
Donley,289,48129
Garza,287,48169
Culberson,280,48109
Armstrong,277,48011
Kinney,277,48271
Glasscock,256,48173
Foard,255,48155
Schleicher,228,48413
Oldham,222,48359
Dickens,201,48125
Shackelford,188,48417
San Saba,185,48411
Terrell,174,48443
Irion,158,48235
Stonewall,143,48433
Motley,125,48345
Edwards,116,48137
Cottle,98,48101
Kenedy,91,48261
Roberts,84,48393
Kent,79,48263
Sterling,76,48431
McMullen,74,48311
Borden,47,48033
King,16,48269
Loving,9,48301
